title,normal_price,discount_price,product_url,image_url,status,error_message
Detergente Sanitário Bloco Para Caixa Acoplada Marine Pato 40g,"R$ 22,99",,https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=847c3ef2-e8ed-4f02-be6c-8b2cf9d6a19a,https://static.ifood-static.com.br/image/upload/t_high/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202510031924_9165tyg02qv.jpeg,success,
Tira Manchas em Barra Vanish Roupas Brancas 75g,"R$ 6,66","R$ 5,99",https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=8a430c7b-8adf-4472-b5b8-3ce60aa879f3,https://static.ifood-static.com.br/image/upload/t_high/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202601071633_vt7lx63djn.jpeg,success,
Cera Fria Veet Pure & Fresh Pernas e Corpo 12un,"R$ 46,49","R$ 45,90",https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=45891fff-b769-459c-987f-1eac9c52fc8e,https://static.ifood-static.com.br/image/upload/t_high/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202504151138_rodbrikeu.png,success,
Limpador Perfumado Veja Águas do Maranhão 2L,"R$ 18,99",,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pao-de-acucar---colinas-jardim-das-colinas/ade17d26-7f09-4a6f-966b-c6f29df14d9a?item=50a8b3ae-b6e3-4070-b6e1-b3a05b836ede,https://static.ifood-static.com.br/image/upload/t_high/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202509161632_2omtayyu4q.jpeg,success,
,,,https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=9107ec60-d4f8-475c-9926-7a58fa63f552,,success,
Suplemento Alimentar Nutren Senior Chocolate 370g,"R$ 100,99",,https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=e3ecc3a5-5acd-410c-ad28-5f59e9ab717e,https://static.ifood-static.com.br/image/upload/t_high/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402201240_g24dgeoz6j7.jpeg,success,
,,,https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=25e806f2-fc18-4610-b504-01f314372615,,success,
,,,https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=7af31026-c724-4035-bfdc-bc7e04498778,,success,
,,,https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=3f49b48f-cfaa-45dd-ad1d-55f1e155e92b,,success,
,,,https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=cf566579-edd4-422f-a7f4-acd172a354e1,,success,
,,,https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/b06518dd-4c48-4e0e-8f19-277baaa0772f?item=6102fd84-9f7f-40cd-b1cc-581201bb29b1,,success,
"Tira Manchas Gel Vanish Brancas + Coloridas 1,5l Oferta 2un","R$ 65,90",,https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=3e56505b-c49c-44cc-bcc4-0cf1d2abd8ec,https://static.ifood-static.com.br/image/upload/t_high/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202603121504_o6012sr1h7n.jpeg,success,
,,,https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=31aa8d6a-cbd8-41fd-8b6d-dc9685b47533,,success,
,,,https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=1cd20fd2-66e7-4ed3-a493-4096a3d1d272,,success,
,,,https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=aaeb30b4-1d9e-4517-835f-6a38fe130445,,success,
